Fri Dec  9 10:54:53 2022    concur

         1072955 function calls (1047034 primitive calls) in 37.555 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.024    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\format\number.py:168(format_decimal)
      616    0.001    0.000    0.024    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\markers.py:219(__init__)
        1    0.000    0.000    0.024    0.024 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\Image.py:311(preinit)
     1759    0.011    0.000    0.023    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:767(__init__)
       72    0.000    0.000    0.023    0.000 <__array_function__ internals>:177(roots)
     2570    0.005    0.000    0.023    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:81(_stale_axes_callback)
       72    0.002    0.000    0.023    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\numpy\lib\polynomial.py:171(roots)
        1    0.000    0.000    0.022    0.022 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\concurrent\futures\__init__.py:40(__getattr__)
       10    0.000    0.000    0.022    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\format\number.py:149(apply)
       10    0.000    0.000    0.022    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\format\number.py:35(apply)
       10    0.001    0.000    0.022    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\babel\numbers.py:990(apply)
       92    0.022    0.000    0.022    0.000 {built-in method nt.stat}
      401    0.001    0.000    0.022    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\utils\indexed_list.py:42(append)
        4    0.000    0.000    0.022    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2013(__init__)
     5474    0.015    0.000    0.022    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\cbook\__init__.py:2014(_setattr_cm)
      699    0.002    0.000    0.021    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:326(xmin)
     1886    0.008    0.000    0.021    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2351(__init__)
       51    0.000    0.000    0.021    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1275(get_majorticklocs)
       10    0.000    0.000    0.021    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\babel\numbers.py:1146(_quantize_value)
       62    0.001    0.000    0.021    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1338(_copy_tick_props)
       10    0.000    0.000    0.020    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\babel\numbers.py:1133(_format_int)
