Fri Dec  9 10:56:02 2022    async

         1084106 function calls (1058191 primitive calls) in 43.945 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.026    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:934(set_clip_path)
      458    0.001    0.000    0.026    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:842(get_bbox)
     2384    0.002    0.000    0.026    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1348(__add__)
        2    0.000    0.000    0.026    0.013 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\reader\excel.py:203(read_worksheets)
      804    0.002    0.000    0.025    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:822(from_extents)
      673    0.006    0.000    0.025    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\font_manager.py:658(__init__)
     3283    0.008    0.000    0.024    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1900(__init__)
      104    0.000    0.000    0.024    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1408(contains_branch_seperately)
      278    0.001    0.000    0.023    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:133(draw_path)
    78/68    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      104    0.001    0.000    0.023    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1389(contains_branch)
       19    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:916(get_code)
     2384    0.004    0.000    0.023    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2508(composite_transform_factory)
        8    0.000    0.000    0.023    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:638(__init__)
 1294/564    0.002    0.000    0.023    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2395(__eq__)
       36    0.000    0.000    0.022    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:2112(__call__)
     2413    0.005    0.000    0.022    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\colors.py:152(to_rgba)
1038/1034    0.006    0.000    0.022    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1791(__eq__)
      205    0.002    0.000    0.022    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\format\__init__.py:16(format_cell)
      104    0.002    0.000    0.022    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\bezier.py:276(axis_aligned_extrema)
      278    0.013    0.000    0.022    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       64    0.001    0.000    0.021    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:433(__init__)
       95    0.002    0.000    0.021    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:673(intersection)
      140    0.001    0.000    0.021    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1426(__sub__)
       36    0.000    0.000    0.021    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:2116(tick_values)
7622/3983    0.004    0.000    0.021    0.000 {built-in method builtins.hash}
        4    0.000    0.000    0.020    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2013(__init__)
 1776/400    0.007    0.000    0.020    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\descriptors\serialisable.py:173(__eq__)
     1759    0.009    0.000    0.019    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:767(__init__)
