name,salary_from,salary_to,salary_currency,area_name,published_at
Фрезеровщик (Пермь),Оренбург,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-расточник (г.Пермь),Ростов-на-Дону,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),Екатеринбург,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),Ижевск,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Программист 1С (удалённо),Новосибирск,,150000.0,RUR,2022-12-01T08:04:26+0300
Токарь (Пермь),Брянск,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Журналист-редактор,Самара,,15000.0,RUR,2022-12-01T10:32:09+0300
Системный администратор,Актау,,150000.0,KZT,2022-12-01T09:25:28+0300
Шлифовщик,Нижний Тагил,120000.0,,RUR,2022-12-01T11:36:53+0300
Токарь (Пермь),Ростов-на-Дону,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Саратов,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Иваново (Ивановская область),106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Механик по специализированной технике,Новосибирск,148000.0,165000.0,RUR,2022-12-01T08:39:11+0300
Шлифовщик,Нижний Тагил,100000.0,,RUR,2022-12-01T08:33:07+0300
Токарь,Подольск (Московская область),40000.0,106000.0,RUR,2022-12-01T11:12:26+0300
Фрезеровщик (Пермь),Пермь,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Брянск,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Тверь,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Строгальщик (г. Челябинск),Копейск,105000.0,,RUR,2022-12-01T10:40:00+0300
Электромеханик связи,Уссурийск,69000.0,89000.0,RUR,2022-12-01T01:56:10+0300
Строгальщик (г. Челябинск),Магнитогорск,105000.0,,RUR,2022-12-01T10:40:00+0300
Токарь-расточник,Пермь,140000.0,,RUR,2022-12-01T11:31:48+0300
Оператор станков с программным управлением,Челябинск,,51000.0,RUR,2022-12-01T07:47:16+0300
Токарь (Пермь),Ульяновск,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
